,Hotel_name,Location,Price,Discount,Rating
,OYO Rooms 212 Hauz Khas,Panchsheel Park South,1449,25%,69
,OYO Rooms 588 DB Gupta Road Near Flyover,Dariba Pan,2249,25%,107
,OYO Rooms 185 GK 1 Near M Block Market,Greater Kailash Part 1,3449,25%,77
,OYO Rooms 653 Near Kailash Colony Metro,Kailash Colony,2899,25%,130
,OYO Rooms 133 East of Kailash Extension,Opp Sapna Cinema,1599,25%,24
,OYO Rooms 486 IGI Airport Near Main Road,"Near Prem Motor Showroom, Adjoining Vasantkunj Road",2449,25%,129
,OYO Rooms 602 Chandi Wali Gali Paharganj,Near New Delhi Railway Station,1249,25%,1
,OYO Rooms 528 8A/50 Channa Market,"Channa Market, Karol Bagh",2099,25%,35
,OYO Premium 052 Jasola Apollo,Kalindi Kunj Road,1949,25%,22
,OYO Rooms 270 Nizamuddin Railway Station,Jangpura,1499,25%,16
,OYO Rooms 089 Kalkaji,Chittaranjan Park,2299,25%,23
,OYO Rooms 484 IGI Airport Hotel,NH8,1299,25%,104
,OYO Rooms 126 East of Kailash,Near Nehru Place,1599,25%,410
,OYO Rooms 272 Delhi English School Sector 21 Dwarka,Dwarka Sector 23,1699,25%,879
,OYO Rooms 567 Paharganj Near RK Ashram Metro,Near R.K. Ashram Metro Station,1449,25%,75
,OYO Rooms 599 Rajguru Road Paharganj 2,"Rajguru Road, Chuna Mandi",1449,25%,686
,OYO Rooms 300 IGI Airport 3,"Behind Prem Maruti Showroom, Mahipalpur",1349,25%,588
,OYO Rooms 641 Sector 7 Palam Extension,"Sector 7, Near Shree Makhan Sweet, Ramphal Chowk",1599,25%,1875
,OYO Premium 529 Jasola Vihar,"Pocket-2, Jasola",1849,25%,995
,OYO Premium 143 Rajouri Garden Janta Market,Rajouri Garden,1599,25%,1144
,OYO Rooms 565 Airport Travellers Delight,"Street No.7, Near IGI Airport, Mahipalpur",5049,25%,2051
,OYO Premium 220 East Of Kailash Extension,East of Kailash,3899,25%,644
,OYO Rooms 666 Nehru Place Near Metro Station,Nehru Enclave,3699,25%,34
,OYO Rooms 350 Delhi Gate ,Darya Ganj,3449,25%,664
,OYO Premium 106 Paharganj,Paharganj,1799,25%,119
,OYO Rooms 044 Patel Nagar Delhi,East Patel Nagar,6099,25%,477
,OYO Rooms 671 Dabri Palam Road,Main Mahiveer Enclave in front of Sulabh International Dabri Palam Road,4999,25%,589
,OYO Rooms 553 Paharganj Flyover 1,"D.B. Gupta Road, Paharganj",3849,25%,470
,OYO Rooms 111 Paharganj 54,Paharganj,2349,25%,465
,OYO Rooms 105 Paharganj DB Gupta Road 2,Paharganj,3349,25%,711
,OYO Rooms 361 Paharganj Near Darbar Sweets,Pahar Ganj,5799,25%,16
,OYO Premium 532 GK1 M Block Market 1,Greater Kailash 1,3299,25%,2617
,OYO Rooms 027 Karol Bagh 8/41,Karol Bagh,2049,25%,3524
,OYO Rooms 358 Near Jasola Sports Complex,Jasola,2049,25%,253
,OYO Premium 236 Malviya Nagar Metro,Malviya Nagar,3349,25%,429
,OYO Homes 678 Jangpura Birbal Road,Jangpura Extension,3349,25%,1457
,OYO Apartments 561 Ramphal Chowk,"Palam Extension, Sector 7, Near Gold's Gym",3449,25%,1144
,OYO Rooms 038 Jamia River View,Jamia Nagar,3249,25%,74
,OYO Premium 483 Lajpat Nagar Ring Road 2,Ring Road,3299,25%,2664
,OYO Homes 382 Pitampura Metro Station,Road no 44,3149,25%,207
,OYO Premium 123 Hauz Khas,Safdarjung Enclave,2999,25%,562
,OYO Rooms 115 Main Bazar Paharganj,Near Imperial Cinema,2749,25%,709
,OYO Rooms 296 Railway Station Paharganj 2,Paharganj,2399,25%,1086
,OYO Homes 375 South Extension 1 H Block,South Extension - 1,2749,25%,1320
,OYO Rooms 297 PVR Saket,Saket,1699,25%,2881
,OYO Rooms 065 Janakpuri Near Dabri Mod,"Pankha Road,Dabri Mor",6849,25%,140
,OYO Rooms 136 Karol Bagh 5/25,Karolbagh,1999,25%,7
,OYO Rooms 396 Nirman Vihar Metro,Near Nirman Vihar Metro Station,1549,25%,141
,OYO Rooms 268 Gali Hari Mandir Paharganj,Paharganj,3549,25%,141
,OYO Rooms 277 Near Jhandewalan Metro,Karol Bagh,1099,25%,34
,OYO Premium 672 Paharganj Police Station,"Street No.1, Multani Dhanda, Paharganj",3999,25%,35
,OYO Rooms 043 Nehru Place Extension,Jasola,3299,25%,428
,OYO Rooms 683 Near T3 Airport Delhi,Kapashera,3749,25%,394
,OYO Rooms 596 Main Bazaar Paharganj Gali No 1,"Main Bazar, 6 Tooti Chowk",2549,25%,621
,OYO Rooms 609 Paharganj Near NDLS,"Ram Nagar, Street No.1",3849,25%,158
,OYO Rooms 266 7A/36 Channa Market Karol Bagh,Karol Bagh,3249,25%,42
,OYO Rooms 173 Paharganj Qutub Road,Ram Nagar,3749,25%,61
,OYO Rooms 173 Paharganj Qutub Road,Ram Nagar,5099,25%,8
,OYO Rooms 578 Karol Bagh 16/7 Arya Samaj Road,"Arya Samaj Road, Opposite Satbhrawan School",3499,25%,80
,OYO Rooms 230 Near RK Ashram Metro Paharganj,Paharganj,2949,25%,343
,OYO Rooms 626 DB Gupta NDLS,"Near Gate No 1, Opposite Sheila Cinema",3949,25%,5
,OYO Rooms 451 Gali No 3 Ram Nagar Paharganj,"Saran Building, Gali No. 3",4749,25%,334
,OYO Flagship 497 Green Park,"B Block, Safdarjung Enclave",2299,25%,55
,OYO Flagship 500 New Friends Colony,"Plot no. A-44, A Block, New Friends Colony, Delhi",3399,25%,195
,OYO Flagship 494 East of Kailash,"Plot no. E-301, E Block, East of Kailash, Delhi",3349,25%,209
,OYO Flagship 512 Safdarjung Enclave,"B Block, Safdurjung Enclave",3499,25%,74
,OYO Flagship 573 Paharganj NDLS,"Arakashan Road, Paharganj",1899,25%,245
,OYO Premium 526 Wazirpur Industrial Area,"Phase 2, Ashok Vihar, New Delhi",3399,25%,260
,OYO Rooms 610 Green Park Extension,Hauz Khas Village,4499,25%,604
,OYO Rooms 606 New Friends Colony 1,New Friends Colony,3199,25%,3
,OYO Rooms 699 North Campus,"Phase 2, Ashok Vihar",3399,25%,6
,OYO Premium 538 Hauz Khas Metro,"S Block, Panchsheel Park",4499,25%,7
,OYO Premium 336 Resort International Airport Delhi,Kapashera,4049,25%,144
,OYO Rooms 592 Deer Park,SFE,1349,25%,7398
,OYO Rooms 698 Paharganj NDLS,"Arakashan Road,Pahargankj",2649,25%,7
,OYO Rooms 697 Karol Bagh,"Desh Bandhu Gupta Road, Beadonpura, Karol Bagh",2399,25%,127
,OYO Flagship 551 Karol Bagh,"Next to Baptist Church,D.B Gupta Road, Near Police Station, Karol Bagh",2599,25%,161
,OYO Flagship 551 Karol Bagh,"Next to Baptist Church,D.B Gupta Road, Near Police Station, Karol Bagh",2449,25%,69
,OYO Rooms 676 Safdarjung Enclave 2,"B Block, Safdurjung Enclave",4199,25%,107
,OYO Rooms 591 Hauz Khas Village,SDA,2249,25%,77
,OYO Rooms 555 Pitampura,"Rajdhani Enclave,Pitampura",3099,25%,130
,OYO Rooms 545 Rohini Pitampura,"Saraswati Vihar, Pitampura",3399,25%,24
,OYO Rooms 547 Paschim Vihar 2,"Paschim Enclave, Nh-10",5649,25%,129
,OYO Rooms 354 GK2 M Block Market,"E Block,Greater Kailash II",3849,25%,1
,OYO Rooms 498 South Ex Market,"C Block, South Extension 1",2099,25%,35
,OYO Premium 608 GK2 M Block Market,"Ground Floor, Greater Kailash II, Road No. 10, Near M Block Market",3599,25%,22
,OYO Rooms 010 Karol Bagh 1078,"Karol Bagh, New Delhi",3399,25%,16
,OYO Premium 208 GK 1 M Block Market,Greater Kailash,2549,25%,23
,OYO Rooms 091 WEA Karol Bagh,Karol Bagh,3049,25%,104
,OYO Rooms 124 Kirti Nagar,Kirti Nagar,3599,25%,588
,OYO Premium 404 International Airport Terminal 3 Extension,"A Block, Mahipalpur Extension, NH8, New",2199,25%,1875
,OYO Rooms 039 Near Qutub Road Arya Nagar Paharganj,Paharganj,3049,25%,995
,OYO Homes 330 New Friends Colony,Friends Colony East,2299,25%,1144
,OYO Premium 081 Domestic Airport Delhi,"Khasara No.395, Vasant Kunj Road, Mahipalpur",2149,25%,2051
,OYO Rooms 031 Near IGI Airport Aerocity,"National Highway No. 8, Mahipalpur",2549,25%,644
,OYO Rooms 437 North Campus,"Opposite Parmarth Hospital, Above Allahabad Bank",4949,25%,34
,OYO Rooms 541 Dwarka Sector 13 Metro Station,"Sector 13, Dwarka",2199,25%,664
,OYO Rooms 079 Delhi International Airport,"Mahipalpur Extn, Near Airport, National Highway -8",3399,25%,119
,OYO Rooms 190 Opp IGI Airport,"NH 8, Near IGI Airport Road No. 1, Mahipalpur Extension",1649,25%,477
,OYO Rooms 506 GK 1 Market,Greater Kailash 1,1799,25%,589
,OYO Rooms 540 Near Pitampura Metro,Dakshini Pitampura,1649,25%,470
,OYO Rooms 051 New Friends Colony Market,New Friends Colony,3799,25%,465
,OYO Premium 586 Near Meera Bagh,"Outer Ring Road, Meera Bagh",1649,25%,711
,OYO Premium 311 Ring Road GK1 2,Greater Kailash 1,2299,25%,16
,OYO Rooms 028 Friends Hospital NFC,Maharani Bagh,2049,25%,2617
,OYO Rooms 082 Patel Nagar Main Market,Main Market,1699,25%,3524
,OYO Premium 510 International Airport Terminal 3,Opposite Kapashera Police Station Kapashera,1799,25%,253
,OYO Rooms 566 Saket J Block,"Opposite J Block Market, Saket",5999,25%,429
,OYO Rooms 157 Delhi Airport 2,"Opposite Indra Gandhi International Airport, Mahipalpur Extension, NH-8",1599,25%,1457
,OYO Rooms 184 Aerodrome Near IGI Airport,"Mahipalpur, NH-8, Near IGI Airport",2299,25%,1144
,OYO Premium 069 Patel Nagar,Metro Pillar No. 162,2049,25%,74
,OYO Rooms 524 International Airport Delhi,"A Block, N.H.8, Mahipalpur New",1599,25%,2664
,OYO Rooms 205 Dwarka Sector 12 Metro Station,Dwarka,3799,25%,207
,OYO Premium 405 GK1 Near M Block Market,Greater Kailash -1,2049,25%,1360
,OYO Rooms 535 Chattarpur,Chandan Hola,4199,25%,69
,OYO Rooms 321 Near RK Ashram Metro Station 3,Paharganj,1799,25%,2655
,OYO Rooms 219 Grace Church NFC,Kirokli,2999,25%,360
,OYO Rooms 170 Shadipur Metro Station,West Patel Nagar,2999,25%,1675
,OYO Rooms 365 Indra Gandhi Airport Main Road,"Next to Hotel Radisson, Near IGI Airport, Rangpuri",2599,25%,1342
,OYO Rooms 088 East Patel Nagar,Near Metro Pillar No.161,1299,25%,957
,OYO Premium 407 South Delhi Grand Stay,Aruna Asaf Ali Marg,3749,25%,1603
,OYO Rooms 014 New Friends Colony Crossroad,CV Raman Marg,1399,25%,494
,OYO Rooms 560 Vasant Vihar 2,Rao Tula Ram Marg,2749,25%,1965
,OYO Homes 520 GK 1 M Block Market,Greater Kailash 1,1199,25%,1271
,OYO Elite 557 Panchsheel Enclave,Panchshila Park,1349,25%,2655
,OYO Rooms 253 New Friends Colony 2,New Friends colony,3349,25%,644
,OYO Rooms 169 Near DPS Vasantkunj,Vasant Kunj,1949,25%,1603
,OYO Rooms 585 Near Sector 10 Metro Dwarka,"Sector 10 Dwarka, In front of metro station",1099,25%,207
,OYO Homes 275 Saket J Block,Saket,3549,25%,1682
,OYO Premium 534 Dwarka Near Ramphal Chowk,Dwarka Palam Road,2249,25%,60
,OYO Rooms 145 Paschim Vihar,Rohtak Road,1699,25%,1337
,OYO Rooms 249 Nehru Place Flyover,Greater Kailash 1,2399,25%,1342
,OYO Rooms 280 J Block Vikaspuri Delhi,Vikaspuri,5099,25%,1393
,OYO Homes 110 Jangpura Ext,Jangpura Extension,1249,25%,494
,OYO Rooms 204 Rajendra Place Metro Station,East Patel Nagar,1599,25%,299
,OYO Rooms 518 ZION Church Patel Nagar,East Patel nagar,1599,25%,1360
,OYO Rooms 263 PVR Vikas Puri,Vikas Puri,1799,25%,1271
,OYO Premium 232 Jasola Near DLF Tower,Jasola,1249,25%,352
,OYO Apartments 273 Dwarka Sector 12,Dwarka,1949,25%,358
,OYO Premium 187 Hari Nagar,Hari Nagar,2099,25%,17
,OYO Rooms 057 Dwarka Sector 19,Dwarka,6149,25%,332
,OYO Homes 456 Rani Bagh,Rani Bagh,1349,25%,1061
,OYO Rooms 480 IGI Airport 4,"Road no 2, Mahipalpur",1449,25%,1013
,OYO Premium 129 Dwarka Sector 7,Dwarka,3799,25%,1549
,OYO Homes 438 Janakpuri,Janak Puri,3549,25%,1337
,OYO Premium 050 Jasola DAV,Jasola,2099,25%,663
,OYO Rooms 203 llahi Bux Marg Karol Bagh,Karol Bagh,4399,25%,1983
,OYO Rooms 351 Saraswati Marg Karol Bagh,Saraswati Marg,1499,25%,416
,OYO Homes 501 Vasant Kunj Near Fortis,Shanti Kunj,1199,25%,299
,OYO Premium 559 Connaught Place Travellers Delight,Connaught Circus,1899,25%,1488
,OYO Rooms 522 Karol Bagh 17A-13 Gurudwara Road,Karol Bagh,3699,25%,52
,OYO Rooms 216 Ministry of Rural Development Delhi,East Patel Nagar,1449,25%,60
,OYO Rooms 026 Karol Bagh,Karol Bagh,2199,25%,807
,OYO Rooms 271 Near Hanuman Statue Karol Bagh,Karol Bagh,1349,25%,795
,OYO Premium 165 Rajouri Garden Metro Station,Rajouri Garden,3949,25%,160
,OYO Rooms 313 Channa Market 14A/4 Karol Bagh,Karol Bagh,2049,25%,1653
,OYO Rooms 078 Ring Road GK1,Near Nehru Place,1449,25%,593
,OYO Rooms 174 New Delhi Railway Station 2,Ram Nagar,2349,25%,352
,OYO Premium 546 Green Park Metro,Near Green Park Metro,1899,25%,358
,OYO Rooms 085 Hauz Khas District Park,Safdarjung Enclave,2999,25%,372
,OYO Rooms 301 Vasant Kunj Near DPS,Opposite DPS School Gate No. 1,1849,25%,707
,OYO Rooms 530 Krishna Gali Near NDLS Gate 1,"Near New Delhi Railway Station, Paharganj",749,25%,887
,OYO Premium 137 Dwarka Sector 12,Dwarka,1349,25%,993
,OYO Rooms 314 10174/1 Gurudwara Road Karol Bagh,Karol Bagh,2549,25%,630
,OYO Rooms 653 Near Kailash Colony Metro,Kailash Colony,1649,25%,1061
,OYO Rooms 108 Near Karol Bagh Metro Station 1,Karol Bagh,1299,25%,822
,OYO Rooms 580 Karol Bagh 17A/59,"WEA, Karol Bag, Near RBL Bank",1549,25%,353
,OYO Premium 239 Near Rajendra Nagar Metro Station,New Rajinder Nagar,1499,25%,202
,OYO Rooms 574 Near Kirti Nagar,Near Kirti Nagar Police Station,1099,25%,332
,OYO Rooms 342 Near RK Ashram Metro Station 4,"Main Bazaar, Main Bazar Road, Paharganj",3449,25%,126
,OYO Premium 141 Anand Vihar 2,Near Karkardooma Metro Station,1399,25%,39
,OYO Rooms 209 Karol Bagh 13A/22,Karol Bagh,1999,25%,318
,OYO Rooms 455 Near Karol Bagh Metro Station 2,Karol Bagh,3799,25%,432
,OYO Rooms 147 Karol Bagh 14A/7,Karol Bagh,2799,25%,59
,OYO Premium 582 Pitampura,"Near Kohat Enclave Metro Station, Opposite Metro Pillar No. 332",2649,25%,178
,OYO Rooms 343 Main Bazar Paharganj 4350,"Kaseru Walan, Paharganj",2149,25%,854
,OYO Homes 328 Chhatarpur,"Maidan Garhi Road,Chattarpur",2749,25%,923
,OYO Rooms 226 Near Jhandewalan Metro 1,Karol Bagh,2649,25%,244
,OYO Rooms 265 Balaji Mandir Karol Bagh,Karol Bagh,4099,25%,926
,OYO Rooms 255 Karol Bagh Saraswati Marg,Karol Bagh,1849,25%,38
,OYO Rooms 274 Dwarka Sector 7,"Ramphal Chowk, Dwarka",1099,25%,750
,OYO Rooms 445 Saket Metro,Saiyad ul Ajaib,2999,25%,586
,OYO Premium 140 Connaught Place,Barakhamba,2399,25%,588
,OYO Rooms 332 New Delhi Railway Station Paharganj,"Kaseru Walan, Paharganj",1749,25%,2
,OYO Homes 508 G Block Saket,Saket,1849,25%,675
,OYO Premium 334 Naraina,Naraina Vihar,1499,25%,240
,OYO Premium 234 Paschim Vihar,Paschim Vihar,1949,25%,917
,OYO Homes 318 Kalkaji E Block,Kalkaji,1649,25%,1393
,OYO Premium 564 Nehru Place Ring Road,Nehru Place,1399,25%,225
,OYO Rooms 228 Near RK Ashram Metro Station 2,Paharganj,1549,25%,102
,OYO Apartments 202 Saket Extension,"Near Malkhan Singh Marg, Street no.16",2049,25%,179
,OYO Rooms 093 Kalkaji Mandir Delhi,Kalkaji,2449,25%,6
,OYO Premium 008 IGI Airport Link Road,"Mahipalpur, NH -8, Near IGI Airport, Delhi Gurgaon Expy, Block RZ, Mahipalpur Village",4449,25%,278
,OYO Rooms 629 New Rohtak Road Karol Bagh,"Rohtak Road, Karol Bagh",1899,25%,28
,OYO Rooms 319 IGI Airport Near Fun N Food Village,"Kapashera Road, Bijwasan",2349,25%,164
,OYO Rooms 119 New Delhi Railway Station,Paharganj,1349,25%,1044
,OYO Premium 189 GK 1 R Block,Greater Kailash Part - 1,2099,25%,20
,OYO Rooms 094 Karol Bagh 53/1,Karol Bagh,1899,25%,568
,OYO Rooms 097 Gaffar Market Karol Bagh,"Karol Bagh, New Delhi",1299,25%,373
,OYO Premium 386 Rajguru Road Paharganj,CHUNA MANDI,3199,25%,1086
,OYO Rooms 492 Ramphal Chowk Dwarka,Sector-7,1999,25%,1158
,OYO Rooms 130 Nizamuddin Railway Station 2,Hazrat Nizamuddin West,2599,25%,1013
,OYO Rooms 641 Sector 7 Palam Extension,"Sector 7, Near Shree Makhan Sweet, Ramphal Chowk",1999,25%,771
,OYO Rooms 298 38 Arakashan Road Pahar Ganj,Arakshan Road,2799,25%,769
,OYO Rooms 604 DB Gupta Main Road 1,"DB Gupta Road, Pahar Ganj Bridge",3299,25%,93
,OYO Rooms 176 Defence Colony A Block,Defence colony,1549,25%,223
,OYO Rooms 502 Ramphal Chowk Sector 7,"Ramphal Chowk, Sector 7 Dwarka",2399,25%,20
,OYO Rooms 663 Elahi Bux Road Karol Bagh,Karol Bagh,1699,25%,278
,OYO Rooms 444 Near Karol Bagh Metro Station 5,Karol Bagh,2099,25%,75
,OYO Rooms 605 Near Shiela Cinema Paharganj,"1B, Arakashan Road",2049,25%,14
,OYO Rooms 379 New Delhi Station Gate 1,"Opposite New Delhi Railway Station, Paharganj",1399,25%,27
,OYO Rooms 217 Lajpat Nagar Market,Lajpat Nagar,2449,25%,132
,OYO Rooms 323 Mahipalpur,"Road No.-6, Mahipalpur, Road No 6",1349,25%,191
,OYO Homes 291 Dwarka Sector 19,Dwarka,2049,25%,263
,OYO Premium 531 Green Park 2,Green Park,1299,25%,262
,OYO Rooms 461 Kalkaji F Block,Kalkji Main Road,1999,25%,6
,OYO Rooms 163 Rohini Near M2K,Main Road Naharpur Village,2549,25%,9
,OYO Homes 558 Chattarpur Near Tivoli,"Next To Primary School, Satbari Chattarpur",2799,25%,62
,OYO Premium 261 Karol Bagh Metro Station 3,Karol Bagh,3599,25%,123
,OYO Homes 367 Greater Kailash M Block Market 2,New Delhi,1199,25%,1
,OYO Premium 029 Siri Fort Road,Sadiq Nagar,1799,25%,3577
,OYO Rooms 152 Karol Bagh Bikanerwala,"Gurudwara Road, Karol Bagh",2299,25%,138
,OYO Rooms 312 Near New Delhi Railway Station,Opp. Shiela Cinema,4149,25%,115
,OYO Homes 460 GK 2 Main Road,Greater Kailash II,1599,25%,270
,OYO Rooms 138 Vasant Kunj 1,Masoodpur Vasant Kunj,2349,25%,2846
,OYO Rooms 433 Jangpura,"Masjid Road, Jangpura Bhogal",3699,25%,72
,OYO Premium 086 Karol Bagh Metro,Karol Bagh,1399,25%,22
,OYO Rooms 674 Karol Bagh Saraswati Marg 2,"Karol Bagh, New Delhi",2499,25%,352
,OYO Rooms 348 Near Mahipalpur Bypass,"Road No 6, Mahipalpur, Mahipalpur, International Airport Zone",1399,25%,1215
,OYO Rooms 358 Near Jasola Sports Complex,Jasola,3199,25%,3
,OYO Rooms 611 Main Bazaar 1575 Paharganj,"Main Bazar, Paharganj",3549,25%,2
,OYO Rooms 337 Arya Nagar Paharganj,D.B. Gupta Road,1949,25%,2
,OYO Rooms 075 Fortis Vasant Kunj,Vasant Kunj,2549,25%,1
,OYO Premium 240 Paharganj Near NDLS,Pahar Ganj,1049,25%,34
,OYO Rooms 045 Connaught Place G Block,Connaught Place,1499,25%,7286
,OYO Rooms 090 CR Park Outer Ring Road,CR Park,3549,25%,324
,OYO Homes 310 Shivalik Road Malviya Nagar,Near Aurobindo College,2099,25%,61
,OYO Rooms 104 Paharganj Railway Station,Pahar Ganj,2299,25%,864
,OYO Rooms 677 Kamla Nagar,Kamla Nagar,1999,30%,848
,OYO Rooms 306 Karol Bagh 7A/39,Channa Market,2999,25%,4273
,OYO Rooms 493 Krishna Gali Near NDLS,"Krishna Gali, Ghee Mandi, Near New Delhi Railway Station Paharganj",3649,25%,170
,OYO Rooms 125 Pitampura I,Pitampura,2599,25%,249
,OYO Premium 083 Karol Bagh Metro Station,Karol Bagh,1599,25%,735
,OYO Rooms 316 Kalkaji M Block,"M Block, Kalkaji",1949,25%,427
,OYO Homes 325 AIIMS,Arjun Nagar,2299,25%,180
,OYO Rooms 040 AIIMS,Opposite AIIMS Trauma Centre,2249,25%,75
,OYO Premium 473 International Airport Main Road,"NH8, Mahipalpur",3549,77%,23
,OYO Rooms 368 Block 11A Channa Market Karol Bagh,"W.E.A, Channa Market, Karol Bagh",2099,67%,49
,OYO Premium 603 Red Fort,"Opposite Happy School, Daryaganj",2299,67%,342
,OYO Rooms 340 Hazrat Nizamuddin Railway Station,Jangpura B,1999,73%,168
,OYO Homes 441 Janakpuri West Metro Station,Opposite Savitri Market,2999,67%,2171
,OYO Premium 068 Karol Bagh,Near By Karol Bagh Police Station / HDFC bank,3649,67%,1289
,OYO Rooms 406 Railway Station Paharganj 4,Arakashan Road,2599,67%,769
,OYO Homes 101 GK N Block Market,"Greater Kailash-1, New Delhi",1599,70%,610
,OYO Rooms 293 Jhandewalan Metro Station 3,Karol Bagh,1949,73%,545
,OYO Premium 019 Dwarka Near Airport,"Aditya Enclave, Dwarka",2299,67%,1807
,OYO Rooms 542 Bhogal Jangpura,"Church Road, Jungpura, Bhogal",2249,66%,103
,OYO Rooms 552 GK2 M Block Market Extension,Greater Kailash-2,1799,67%,15
,OYO Rooms 381 Kailash Colony Metro 2,East of Kailash,2299,72%,118
,OYO Rooms 264 Rajouri Garden Metro Station 2,Rajouri Garden,4149,65%,17
,OYO Premium 458 GT Karnal Road,Alipur,1599,67%,11
,OYO Rooms 597 Hari Mandir Gali Paharganj,Gali Hari Mandir,2349,65%,148
,OYO Rooms 385 Karol Bagh 12A/24,"Saraswati Marg, West Extension Area, Karol Bagh",3699,67%,43
,OYO Homes 369 South Extension 1,South Extension 1,1399,67%,7
,OYO Premium 581 Karol Bag Pusa Road,"Gurudwara Road, Opposite Jessa Ram Hospital",2499,67%,62
,OYO Rooms 548 New Delhi Junction,"Arakashan Road, Paharganj",1399,67%,4
,OYO Rooms 288 Dwarka Sector 12 City Centre,Dwarka,3199,67%,36
,OYO Premium 155 Safdarjung,Green Park Main,3549,67%,65
,OYO Rooms 572 DB Gupta Road Karol Bagh 2,"D.B. Gupta Road, Karol Bagh",1949,67%,17
,OYO Rooms 562 Pitampura Madhuban Chowk,Pitampura,2549,67%,28
,OYO Rooms 258 Karol Bagh Metro Station 4,Karol Bagh,1049,67%,2
,OYO Premium 687 Naraina Industrial Area,Naraina Vihar,1499,67%,913
,OYO Rooms 168 Green Park,Hauz Khas,1849,70%,325
,OYO Rooms 179 Kashmere Gate,Kashmere Gate,1099,67%,310
,OYO Premium 172 Laxmi Nagar,Laxmi Nagar,2999,64%,28
,OYO Rooms 523 Karol Bagh WEA Saraswati Marg 4/39,"Saraswati Marg, Karol Bagh",2399,65%,197
,OYO Rooms 259 Rajguru Road Paharganj,Paharganj,1749,69%,102
,OYO Premium 594 Malviya Nagar A Block,Shivalik Road,1849,66%,1036
,OYO Homes 446 Kailash Colony Main Market,Kailash Colony,1499,25%,992
,OYO Rooms 096 Vasant Kunj 2,New Delhi,1949,25%,3198
,OYO Premium 335 Model Town Delhi,Bhama Shah Marg,1649,25%,62
,OYO Rooms 490 Jantar Mantar Delhi,Jai Singh Road,1399,25%,4
,OYO Rooms 188 Safdarjung Enclave,Safdarjung Enclave,1549,77%,36
,OYO Premium 346 Connaught Place 2,Connaught Place,2049,67%,65
,OYO Rooms 167 Safdarjung Extension,Safdarjung,2449,67%,17
,OYO Rooms 222 Karol Bagh Metro Station 3,Karol Bagh,4449,73%,28
,OYO Rooms 398 South Extension 2,South Extension-ll,1899,67%,2
,OYO Rooms 516 Shakti Vihar Pitampura,Pitampura,2349,67%,913
